,name,salary_from,salary_to,salary_currency,area_name,published_at
2122,Middle+ Frontend developer,100000.0,,RUR,Москва,2022-12-12T13:10:19+0300
2123,Наладчик оборудования,,,,Москва,2022-12-12T14:43:36+0300
2124,Ведущий инженер группы информационной безопасности (Оренбургская область),,,,Оренбург,2022-12-12T14:06:23+0300
2125,Инженер-программист C\C++ (Embedded),120000.0,,RUR,Москва,2022-12-12T12:42:48+0300
2126,Системный администратор,,,,Москва,2022-12-12T16:59:45+0300
2127,Токарь-универсал,50000.0,120000.0,RUR,Екатеринбург,2022-12-12T12:45:25+0300
2128,Project Manager (табачный проект),,,,Краснодар,2022-12-12T15:43:50+0300
2129,Менеджер проектов,,,,Тбилиси,2022-12-12T12:24:38+0300
2130,Руководитель проектов/Проектный менеджер,,,,Москва,2022-12-12T12:46:26+0300
2131,Специалист по документообороту,70000.0,,RUR,Москва,2022-12-12T14:17:09+0300
2132,Разработчик фронтэнда,50000.0,,RUR,Москва,2022-12-12T16:52:25+0300
2133,Программист 1С,80000.0,80000.0,RUR,Краснодар,2022-12-12T13:28:31+0300
2134,Техник/Технолог (Кухни на заказ),,,,Краснодар,2022-12-12T15:29:05+0300
2135,Коммуникационный дизайнер (digital продукты),,,,Москва,2022-12-12T12:08:17+0300
2136,Наладчик технологического оборудования,,,,Воронеж,2022-12-12T13:31:33+0300
2137,Штамповщик-наладчик,30000.0,35000.0,RUR,Киров (Кировская область),2022-12-12T15:10:14+0300
2138,Левел-дизайнер / Level-designer,20000.0,,RUR,Воронеж,2022-12-12T16:10:08+0300
2139,Рабочий на производство,35000.0,70000.0,RUR,Тула,2022-12-12T13:39:26+0300
2140,Практикант в Центр развития бизнес-процессов,,,,Москва,2022-12-12T16:30:02+0300
2141,Инженер Service desk,,,,Калуга,2022-12-12T13:16:13+0300
2142,Python developer (г. Томск),40000.0,100000.0,RUR,Томск,2022-12-12T13:39:55+0300
2143,Монтажник по подключениям,70000.0,130000.0,RUR,Санкт-Петербург,2022-12-12T12:20:41+0300
2144,Менеджер проекта,,,,Москва,2022-12-12T13:03:47+0300
2145,Начальник отдела информационных технологий,80000.0,,RUR,Красноярск,2022-12-12T12:18:19+0300
2146,Методолог в онлайн школу Нутрициологии,,,,Москва,2022-12-12T13:45:37+0300
2147,Аналитик,,260000.0,RUR,Москва,2022-12-12T17:50:16+0300
2148,Java разработчик,,,,Москва,2022-12-12T12:53:28+0300
2149,Team Lead C#,,,,Москва,2022-12-12T12:48:22+0300
2150,"Бизнес-аналитик на международный проект ""Дубай""",,,,Москва,2022-12-12T13:04:40+0300
2151,Product owner (e-commerce),,,,Москва,2022-12-12T12:23:51+0300
2152,Специалист - системный администратор Минцифры Республики Татарстан,,,,Казань,2022-12-12T16:44:23+0300
2153,Помощник CTO/Junior full-stack developer (.NET/C#),,,,Москва,2022-12-12T15:53:16+0300
2154,Инженер-механик,,,,Ярославль,2022-12-12T14:10:00+0300
2155,Заместитель директора по цифровым и информационным проектам,,,,Челябинск,2022-12-12T14:56:53+0300
2156,Механик Отделения выварки соли,62640.0,,RUR,Новомосковск (Тульская область),2022-12-12T16:02:02+0300
2157,Оператор ХШО (ученик),48000.0,68000.0,RUR,Тверь,2022-12-12T16:27:04+0300
2158,Менеджер по работе с партнерами / Менеджер по продажам IT,,,,Воронеж,2022-12-12T13:29:46+0300
2159,Менеджер проектов,,130000.0,RUR,Москва,2022-12-12T14:27:44+0300
2160,Менеджер по продажам цифровых решений,,,,Астана,2022-12-12T15:54:41+0300
2161,Специалист технической поддержки 1C (удаленно),50000.0,65000.0,RUR,Москва,2022-12-12T17:22:36+0300
2162,Scrum master (портал Gosuslugi.ru),,,,Москва,2022-12-12T12:59:23+0300
2163,Креативный старший дизайнер,,,,Москва,2022-12-12T13:25:53+0300
2164,Разработчик Python,,,,Краснодар,2022-12-12T12:16:16+0300
2165,Механик участка,,168000.0,RUR,Тюмень,2022-12-12T16:46:07+0300
